	intron	exon
seq1	0.38	0.48
seq2	0.25	0.36
seq3	0.45	0.54
seq4	0.42	0.52
seq5	0.42	0.51
seq6	0.35	0.46
seq7	0.3	0.4
seq8	0.31	0.4
seq9	0.26	0.36
seq10	0.49	0.59
seq11	0.34	0.44
seq12	0.34	0.44
seq13	0.39	0.48
seq14	0.37	0.47
seq15	0.44	0.53
seq16	0.41	0.51
seq17	0.34	0.44
seq18	0.29	0.4
seq19	0.35	0.44
seq20	0.35	0.46
seq21	0.44	0.54
seq22	0.4	0.51
seq23	0.36	0.47
seq24	0.36	0.46
seq25	0.37	0.48
seq26	0.32	0.42
seq27	0.32	0.43
seq28	0.28	0.39
seq29	0.47	0.57
seq30	0.45	0.55
seq31	0.47	0.57
seq32	0.27	0.37
seq33	0.26	0.36
seq34	0.42	0.53
seq35	0.48	0.57
seq36	0.31	0.42
seq37	0.44	0.55
seq38	0.3	0.39
seq39	0.44	0.55
seq40	0.36	0.46
seq41	0.49	0.59
seq42	0.47	0.57
seq43	0.33	0.42
seq44	0.4	0.5
seq45	0.32	0.42
seq46	0.38	0.48
seq47	0.44	0.55
seq48	0.35	0.45
seq49	0.31	0.4
seq50	0.55	0.64
seq51	0.32	0.42
seq52	0.37	0.47
seq53	0.38	0.48
seq54	0.39	0.48
seq55	0.39	0.48
seq56	0.37	0.47
seq57	0.38	0.48
seq58	0.39	0.49
seq59	0.44	0.55
seq60	0.41	0.51
seq61	0.4	0.5
seq62	0.44	0.54
seq63	0.38	0.47
seq64	0.43	0.54
seq65	0.41	0.5
seq66	0.42	0.53
seq67	0.27	0.37
seq68	0.37	0.47
seq69	0.33	0.43
seq70	0.47	0.58
seq71	0.48	0.57
seq72	0.37	0.48
seq73	0.21	0.31
seq74	0.45	0.56
seq75	0.35	0.45
seq76	0.33	0.43
seq77	0.21	0.31
seq78	0.28	0.38
seq79	0.32	0.42
seq80	0.41	0.51
seq81	0.31	0.41
seq82	0.31	0.41
seq83	0.49	0.59
seq84	0.44	0.54
seq85	0.35	0.44
seq86	0.46	0.56
seq87	0.47	0.57
seq88	0.41	0.51
seq89	0.36	0.46
seq90	0.33	0.43
seq91	0.3	0.39
seq92	0.35	0.46
seq93	0.45	0.56
seq94	0.1	0.2
seq95	0.46	0.57
seq96	0.24	0.33
seq97	0.33	0.43
seq98	0.36	0.46
seq99	0.35	0.46
seq100	0.28	0.38
seq101	0.36	0.46
seq102	0.64	0.74
seq103	0.42	0.51
seq104	0.4	0.49
seq105	0.36	0.45
seq106	0.29	0.39
seq107	0.36	0.47
seq108	0.52	0.63
seq109	0.41	0.5
seq110	0.4	0.5
seq111	0.37	0.47
seq112	0.41	0.5
seq113	0.26	0.36
seq114	0.4	0.49
seq115	0.44	0.55
seq116	0.4	0.5
seq117	0.5	0.59
seq118	0.36	0.47
seq119	0.47	0.57
seq120	0.38	0.48
seq121	0.35	0.45
seq122	0.42	0.53
seq123	0.35	0.46
seq124	0.36	0.45
seq125	0.36	0.46
seq126	0.38	0.48
seq127	0.35	0.44
seq128	0.3	0.4
seq129	0.38	0.47
seq130	0.43	0.53
seq131	0.45	0.55
seq132	0.45	0.55
seq133	0.41	0.51
seq134	0.39	0.49
seq135	0.37	0.46
seq136	0.36	0.47
seq137	0.39	0.48
seq138	0.5	0.59
seq139	0.39	0.5
seq140	0.38	0.47
seq141	0.39	0.5
seq142	0.27	0.37
seq143	0.4	0.5
seq144	0.49	0.58
seq145	0.26	0.36
seq146	0.38	0.49
seq147	0.32	0.42
seq148	0.19	0.29
seq149	0.35	0.45
seq150	0.35	0.45
seq151	0.3	0.39
seq152	0.34	0.43
seq153	0.41	0.5
seq154	0.37	0.48
seq155	0.45	0.54
seq156	0.38	0.48
seq157	0.33	0.44
seq158	0.4	0.5
seq159	0.37	0.47
seq160	0.39	0.48
seq161	0.44	0.54
seq162	0.33	0.43
